N°,id,name,up_to_date,archived,status,aired_episodes,seen_episodes,runtime,all_images.poster
34,307375,Mob Psycho 100,False,False,Ended,37,25,24,https://artworks.thetvdb.com/banners/v4/series/307375/posters/60aa39f03e5be.jpg
35,259646,Campione!,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/posters/259646-3.jpg
36,121361,Game of Thrones,True,False,Ended,73,74,57,https://artworks.thetvdb.com/banners/posters/121361-4.jpg
37,295243,Rokka: Braves of the Six Flowers,True,False,Ended,12,12,23,https://artworks.thetvdb.com/banners/v4/series/295243/posters/688a60dba31c8.jpg
38,283943,Sky Wizards Academy,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/283943-3.jpg
39,355966,The Quintessential Quintuplets,True,False,Ended,24,24,25,https://artworks.thetvdb.com/banners/posters/5bfb654b1dbb9.jpg
40,359646,"Why the Hell Are You Here, Teacher!?",True,False,Ended,12,13,12,https://artworks.thetvdb.com/banners/series/359646/posters/5ffa4f7ae9ac8.jpg
41,398193,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,True,False,Continuing,12,12,24,https://artworks.thetvdb.com/banners/v4/series/398193/posters/60ba8a3446d33.jpg
42,247808,Suits,True,False,Ended,134,134,43,https://artworks.thetvdb.com/banners/posters/247808-6.jpg
43,272043,Tokyo Ravens,True,False,Ended,24,24,25,https://artworks.thetvdb.com/banners/posters/272043-2.jpg
44,274431,Gotham,True,False,Ended,100,100,45,https://artworks.thetvdb.com/banners/posters/274431-26.jpg
45,362839,"If It's for My Daughter, I'd Even Defeat a Demon Lord",True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5cbabf0868d37.jpg
46,331753,Black Clover,True,False,Ended,170,178,25,https://artworks.thetvdb.com/banners/posters/331753-4.jpg
47,402374,The Strongest Sage With the Weakest Crest,True,False,Ended,12,18,24,https://artworks.thetvdb.com/banners/v4/series/402374/posters/61d2d8c8a8c99.jpg
48,360115,Prison Break,True,False,Ended,88,90,45,https://artworks.thetvdb.com/banners/posters/5c9e0957ce5be.jpg
49,259649,Aesthetica of a Rogue Hero,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/259649-4.jpg
50,272072,Unbreakable Machine-Doll,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/272072-3.jpg
51,269586,Brooklyn Nine-Nine,False,False,Ended,153,148,22,https://artworks.thetvdb.com/banners/posters/269586-11.jpg
52,267440,Attack on Titan,False,False,Ended,89,87,25,https://artworks.thetvdb.com/banners/posters/267440-2.jpg
53,368862,ORESUKI: Are you the only one who loves me?,True,False,Ended,12,13,24,https://artworks.thetvdb.com/banners/posters/5d8c40322a541.jpg
54,360708,Isekai Cheat Magician,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5ccd36271463f.jpg
55,360502,How Heavy Are the Dumbbells You Lift?,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/5c9e8eb160d4f.jpg
56,352869,Sword Art Online - Ordinal Scale,True,False,Ended,1,1,120,https://dg31sz3gwrwan.cloudfront.net/poster/352869/1345649-0-optimized.jpg
57,354167,Dororo (2019),True,False,Ended,24,24,25,https://artworks.thetvdb.com/banners/posters/5cb6e702ce48e.jpg
58,343913,Grand Blue Dreaming,False,False,Continuing,24,12,24,https://artworks.thetvdb.com/banners/posters/343913-1.jpg
59,371310,Mushoku Tensei: Jobless Reincarnation,False,False,Continuing,47,24,24,https://artworks.thetvdb.com/banners/v4/series/371310/posters/604b7a70c1d6e.jpg
60,299506,Chivalry of a Failed Knight,True,False,Ended,12,12,24,https://artworks.thetvdb.com/banners/posters/299506-2.jpg
61,75579,Fullmetal Alchemist,True,False,Ended,51,51,25,https://artworks.thetvdb.com/banners/posters/75579-2.jpg
62,249866,Mayo Chiki!,True,False,Ended,13,13,25,https://artworks.thetvdb.com/banners/posters/249866-3.jpg
63,375927,The Misfit of Demon King Academy,False,False,Ended,37,13,24,https://artworks.thetvdb.com/banners/series/375927/posters/5fb6a088e3948.jpg
64,355480,Fire Force,False,False,Continuing,70,48,24,https://artworks.thetvdb.com/banners/posters/5d83bd46c80f0.jpg
65,376729,Tower of God,False,False,Continuing,39,13,24,https://artworks.thetvdb.com/banners/v4/series/376729/posters/60c8c2f973365.jpg
66,305082,Kabaneri of the Iron Fortress,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/v4/series/305082/posters/6092f88a424d8.jpg
67,171591,High School of the Dead,True,False,Ended,12,13,23,https://artworks.thetvdb.com/banners/posters/171591-9.jpg
68,247997,Deadman Wonderland,True,False,Ended,12,12,25,https://artworks.thetvdb.com/banners/posters/247997-6.jpg
